Points,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
100,929,900,900,918,930,949,958,989,1038,1038
99,955,930,930,946,956,972,974,1021,1067,1067
98,976,951,953,967,978,995,996,1042,1076,1076
97,994,969,970,988,996,1010,1016,1058,1080,1080
96,1008,986,986,1003,1011,1027,1035,1070,1105,1105
95,1021,999,1000,1017,1024,1044,1048,1080,1111,1111
94,1034,1012,1014,1028,1038,1055,1059,1093,1116,1116
93,1047,1024,1025,1040,1050,1067,1073,1100,1126,1126
92,1057,1036,1037,1050,1061,1076,1080,1110,1128,1128
91,1067,1048,1047,1061,1072,1086,1092,1120,1136,1136
90,1076,1057,1055,1070,1080,1096,1104,1133,1139,1139
89,1084,1067,1066,1080,1090,1106,1114,1142,1144,1144
88,1093,1077,1075,1089,1100,1115,1124,1154,1154,1154
87,1102,1084,1082,1098,1110,1124,1135,1169,1169,1169
86,1110,1093,1092,1107,1116,1133,1144,1176,1181,1181
85,1119,1103,1101,1116,1125,1141,1153,1185,1185,1185
84,1126,1110,1110,1125,1132,1150,1162,1198,1198,1198
83,1134,1119,1117,1132,1140,1159,1170,1202,1202,1202
82,1140,1128,1126,1140,1145,1167,1180,1207,1207,1207
81,1149,1136,1134,1147,1154,1176,1185,1217,1217,1217
80,1157,1143,1140,1155,1162,1185,1192,1222,1222,1222
79,1164,1152,1148,1163,1170,1191,1199,1231,1231,1231
78,1172,1161,1156,1171,1177,1198,1206,1238,1238,1238
77,1180,1170,1165,1180,1188,1202,1214,1243,1243,1243
76,1188,1179,1173,1187,1196,1212,1220,1244,1244,1244
75,1196,1187,1182,1195,1202,1221,1229,1244,1244,1244
74,1203,1196,1190,1201,1212,1232,1236,1250,1250,1250
73,1212,1204,1199,1210,1220,1238,1243,1263,1263,1263
72,1221,1214,1207,1218,1230,1247,1244,1275,1275,1275
71,1230,1223,1216,1227,1238,1257,1252,1292,1292,1292
70,1240,1232,1225,1235,1246,1260,1269,1300,1300,1300
69,1249,1243,1236,1244,1255,1268,1284,1303,1303,1303
68,1258,1253,1245,1254,1260,1280,1296,1319,1319,1322
67,1263,1260,1256,1260,1264,1295,1309,1329,1329,1335
66,1280,1266,1260,1265,1280,1311,1321,1343,1343,1351
65,1297,1284,1275,1287,1296,1325,1333,1353,1353,1364
64,1314,1304,1294,1308,1316,1340,1348,1363,1363,1370
63,1331,1323,1316,1326,1331,1356,1355,1372,1381,1384
62,1355,1344,1338,1350,1354,1373,1370,1384,1402,1402
61,1378,1370,1366,1375,1380,1390,1405,1424,1445,1451
60,1402,1395,1393,1399,1403,1422,1440,1464,1488,1500
59,1403,1396,1394,1400,1404,1423,1441,1465,1489,1501
58,1405,1398,1396,1402,1406,1425,1443,1467,1491,1503
57,1407,1400,1398,1404,1408,1427,1445,1469,1493,1505
56,1409,1402,1400,1406,1410,1429,1447,1471,1495,1507
55,1411,1404,1402,1408,1412,1431,1449,1473,1497,1509
54,1413,1406,1404,1410,1414,1433,1451,1475,1499,1511
53,1415,1408,1406,1412,1416,1435,1453,1477,1501,1513
52,1417,1410,1408,1414,1418,1437,1455,1479,1503,1515
51,1419,1412,1410,1416,1420,1439,1457,1481,1505,1517
50,1421,1414,1412,1418,1422,1441,1459,1483,1507,1519
49,1423,1416,1414,1420,1424,1443,1461,1485,1509,1521
48,1425,1418,1416,1422,1426,1445,1463,1487,1511,1523
47,1427,1420,1418,1424,1428,1447,1465,1489,1513,1525
46,1429,1422,1420,1426,1430,1449,1467,1491,1515,1527
45,1431,1424,1422,1428,1432,1451,1469,1493,1517,1529
44,1433,1426,1424,1430,1434,1453,1471,1495,1519,1531
43,1435,1428,1426,1432,1436,1455,1473,1497,1521,1533
42,1437,1430,1428,1434,1438,1457,1475,1499,1523,1535
41,1439,1432,1430,1436,1440,1459,1477,1501,1525,1537
40,1441,1434,1432,1438,1442,1461,1479,1503,1527,1539
39,1443,1436,1434,1440,1444,1463,1481,1505,1529,1541
38,1445,1438,1436,1442,1446,1465,1483,1507,1531,1543
37,1447,1440,1438,1444,1448,1467,1485,1509,1533,1545
36,1449,1442,1440,1446,1450,1469,1487,1511,1535,1547
35,1451,1444,1442,1448,1452,1471,1489,1513,1537,1549
34,1453,1446,1444,1450,1454,1473,1491,1515,1539,1551
33,1455,1448,1446,1452,1456,1475,1493,1517,1541,1553
32,1457,1450,1448,1454,1458,1477,1495,1519,1543,1555
31,1459,1452,1450,1456,1460,1479,1497,1521,1545,1557
30,1461,1454,1452,1458,1462,1481,1499,1523,1547,1559
29,1464,1457,1455,1461,1465,1484,1502,1526,1550,1562
28,1466,1459,1457,1463,1467,1486,1504,1528,1552,1564
27,1468,1461,1459,1465,1469,1488,1506,1530,1554,1566
26,1470,1463,1461,1467,1471,1490,1508,1532,1556,1568
25,1472,1465,1463,1469,1473,1492,1510,1534,1558,1570
24,1474,1467,1465,1471,1475,1494,1512,1536,1560,1572
23,1476,1469,1467,1473,1477,1496,1514,1538,1562,1574
22,1478,1471,1469,1475,1479,1498,1516,1540,1564,1576
21,1480,1473,1471,1477,1481,1500,1518,1542,1566,1578
