Points,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
100,802,807,811,822,838,845,870,909,928,928
99,822,830,838,846,860,869,894,934,955,955
98,840,848,855,865,877,888,914,955,982,982
97,855,865,871,880,893,904,932,974,1004,1004
96,868,878,885,894,906,920,948,988,1018,1018
95,880,890,897,906,919,933,962,1002,1034,1034
94,891,901,907,918,930,945,975,1015,1047,1047
93,900,913,919,930,941,956,987,1026,1065,1065
92,911,923,930,939,951,966,996,1036,1077,1077
91,920,932,939,949,960,978,1006,1046,1087,1087
90,930,943,948,958,970,988,1017,1056,1097,1097
89,939,953,958,967,980,998,1027,1068,1105,1105
88,948,961,965,976,990,1007,1036,1077,1116,1116
87,957,970,975,985,998,1015,1046,1084,1125,1125
86,965,980,984,992,1006,1024,1054,1095,1133,1133
85,974,989,992,1001,1015,1032,1063,1104,1140,1140
84,982,997,1001,1009,1023,1041,1071,1112,1147,1147
83,990,1006,1009,1018,1033,1050,1080,1120,1157,1157
82,999,1015,1018,1025,1041,1058,1086,1129,1167,1167
81,1008,1024,1025,1035,1050,1067,1096,1136,1176,1176
80,1017,1033,1034,1043,1058,1075,1106,1143,1185,1185
79,1025,1042,1043,1051,1065,1080,1113,1153,1191,1191
78,1035,1050,1051,1060,1074,1090,1122,1161,1199,1199
77,1044,1060,1061,1068,1080,1100,1131,1170,1207,1207
76,1053,1069,1070,1076,1090,1109,1140,1176,1214,1214
75,1063,1079,1078,1083,1098,1117,1147,1185,1222,1222
74,1072,1087,1085,1092,1108,1126,1157,1193,1231,1231
73,1081,1097,1095,1103,1117,1136,1167,1200,1241,1241
72,1092,1108,1105,1113,1127,1144,1176,1208,1246,1246
71,1103,1118,1115,1123,1137,1156,1187,1218,1254,1254
70,1115,1130,1126,1133,1146,1166,1197,1227,1260,1260
69,1127,1140,1138,1143,1159,1178,1206,1239,1261,1261
68,1140,1153,1149,1156,1170,1190,1217,1249,1279,1279
67,1152,1166,1162,1168,1182,1200,1228,1259,1295,1295
66,1167,1180,1176,1181,1195,1210,1240,1260,1307,1307
65,1183,1196,1191,1196,1207,1225,1253,1276,1323,1323
64,1200,1212,1206,1211,1222,1240,1260,1299,1341,1341
63,1219,1230,1225,1229,1241,1258,1273,1320,1359,1359
62,1242,1252,1246,1249,1260,1260,1303,1344,1378,1378
61,1263,1274,1260,1261,1277,1304,1337,1373,1392,1392
60,1320,1320,1320,1320,1331,1352,1375,1400,1416,1416
59,1321,1321,1321,1321,1332,1353,1376,1401,1417,1417
58,1323,1323,1323,1323,1334,1355,1378,1403,1419,1419
57,1325,1325,1325,1325,1336,1357,1380,1405,1421,1421
56,1327,1327,1327,1327,1338,1359,1382,1407,1423,1423
55,1329,1329,1329,1329,1340,1361,1384,1409,1425,1425
54,1331,1331,1331,1331,1342,1363,1386,1411,1427,1427
53,1333,1333,1333,1333,1344,1365,1388,1413,1429,1429
52,1335,1335,1335,1335,1346,1367,1390,1415,1431,1431
51,1337,1337,1337,1337,1348,1369,1392,1417,1433,1433
50,1339,1339,1339,1339,1350,1371,1394,1419,1435,1435
49,1341,1341,1341,1341,1352,1373,1396,1421,1437,1437
48,1343,1343,1343,1343,1354,1375,1398,1423,1439,1439
47,1345,1345,1345,1345,1356,1377,1400,1425,1441,1441
46,1347,1347,1347,1347,1358,1379,1402,1427,1443,1443
45,1349,1349,1349,1349,1360,1381,1404,1429,1445,1445
44,1351,1351,1351,1351,1362,1383,1406,1431,1447,1447
43,1353,1353,1353,1353,1364,1385,1408,1433,1449,1449
42,1355,1355,1355,1355,1366,1387,1410,1435,1451,1451
41,1357,1357,1357,1357,1368,1389,1412,1437,1453,1453
40,1359,1359,1359,1359,1370,1391,1414,1439,1455,1455
39,1361,1361,1361,1361,1372,1393,1416,1441,1457,1457
38,1363,1363,1363,1363,1374,1395,1418,1443,1459,1459
37,1365,1365,1365,1365,1376,1397,1420,1445,1461,1461
36,1367,1367,1367,1367,1378,1399,1422,1447,1463,1463
35,1369,1369,1369,1369,1380,1401,1424,1449,1465,1465
34,1371,1371,1371,1371,1382,1403,1426,1451,1467,1467
33,1373,1373,1373,1373,1384,1405,1428,1453,1469,1469
32,1375,1375,1375,1375,1386,1407,1430,1455,1471,1471
31,1377,1377,1377,1377,1388,1409,1432,1457,1473,1473
30,1379,1379,1379,1379,1390,1411,1434,1459,1475,1475
29,1382,1382,1382,1382,1393,1414,1437,1462,1478,1478
28,1384,1384,1384,1384,1395,1416,1439,1464,1480,1480
27,1386,1386,1386,1386,1397,1418,1441,1466,1482,1482
26,1388,1388,1388,1388,1399,1420,1443,1468,1484,1484
25,1390,1390,1390,1390,1401,1422,1445,1470,1486,1486
24,1392,1392,1392,1392,1403,1424,1447,1472,1488,1488
23,1394,1394,1394,1394,1405,1426,1449,1474,1490,1490
22,1396,1396,1396,1396,1407,1428,1451,1476,1492,1492
21,1398,1398,1398,1398,1409,1430,1453,1478,1494,1494
20,1400,1400,1400,1400,1411,1432,1455,1480,1496,1496
19,1402,1402,1402,1402,1413,1434,1457,1482,1498,1498
18,1404,1404,1404,1404,1415,1436,1459,1484,1500,1500
17,1406,1406,1406,1406,1417,1438,1461,1486,1502,1502
16,1408,1408,1408,1408,1419,1440,1463,1488,1504,1504
15,1410,1410,1410,1410,1421,1442,1465,1490,1506,1506
14,1412,1412,1412,1412,1423,1444,1467,1492,1508,1508
13,1414,1414,1414,1414,1425,1446,1469,1494,1510,1510
