Points,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
100,210,230,230,230,210,210,190,190,170,170
99,---,220,220,220,200,200,180,180,160,160
98,200,210,210,210,---,190,---,170,---,---
97,190,---,---,---,190,---,170,160,---,---
96,---,200,---,200,---,180,---,---,---,---
95,---,---,200,190,180,170,---,---,---,---
94,180,190,190,---,---,---,---,---,---,---
93,---,---,---,180,170,---,---,---,---,---
92,---,---,---,---,---,---,---,---,---,---
91,170,180,180,170,---,---,---,---,---,---
90,---,---,---,---,160,160,160,150,150,150
89,---,170,170,---,---,---,---,---,---,---
88,---,---,---,160,---,---,---,---,---,---
87,160,160,---,---,---,---,---,---,---,---
86,---,---,160,---,---,---,---,---,---,---
85,---,---,---,---,---,---,---,---,---,---
84,---,---,---,---,---,---,---,---,---,---
83,---,---,---,---,---,---,---,---,---,---
82,---,---,---,---,---,---,---,---,---,---
81,---,---,---,---,---,---,---,---,---,---
80,---,---,---,---,---,---,---,140,140,140
79,---,---,150,150,150,150,150,---,---,---
78,150,150,---,---,---,---,---,---,---,---
77,---,---,---,---,---,---,---,---,---,---
76,---,---,---,---,---,---,---,---,---,---
75,---,---,---,---,---,---,---,---,---,---
74,---,---,---,---,---,---,---,---,---,---
73,---,---,---,---,---,---,140,---,---,---
72,---,---,---,---,---,140,---,---,---,130
71,140,140,140,140,140,---,---,---,130,---
70,---,---,---,---,---,---,---,130,---,---
69,---,---,---,---,---,---,---,---,---,---
68,---,---,---,---,---,---,---,---,---,---
67,---,---,---,---,---,---,130,---,---,---
66,---,---,---,---,---,---,---,---,---,---
65,---,---,---,---,130,130,---,---,---,---
64,130,130,130,130,---,---,---,---,---,---
63,---,---,---,---,---,---,---,---,---,---
62,---,---,---,---,---,---,---,---,---,---
61,---,---,---,---,---,---,---,---,---,---
60,120,120,120,120,120,120,120,120,120,120
50,110,110,110,110,110,110,110,110,110,110
40,100,100,100,100,100,100,100,100,100,100
30,90,90,90,90,90,90,90,90,90,90
20,80,80,80,80,80,80,80,80,80,80
10,70,70,70,70,70,70,70,70,70,70
0,60,60,60,60,60,60,60,60,60,60
