Points,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
100,53,50,48,47,41,36,35,30,24,24
99,50,49,45,46,39,34,34,28,23,23
98,47,46,42,43,36,31,31,26,22,22
97,45,43,39,40,34,30,30,25,21,21
96,43,42,38,37,33,28,27,24,20,20
95,42,39,36,36,31,26,25,23,19,19
94,39,37,35,35,28,24,24,22,18,18
93,---,36,34,34,27,23,23,20,---,---
92,38,35,33,32,26,22,22,19,17,17
91,37,34,32,31,23,21,21,18,16,16
90,36,33,30,30,22,20,20,17,15,15
89,35,32,28,28,---,---,19,---,14,14
88,34,31,27,26,21,19,18,16,---,---
87,33,30,26,25,---,18,---,15,---,---
86,32,28,25,---,20,17,17,---,---,13
85,31,27,---,24,---,16,16,14,---,---
84,30,26,24,---,19,---,15,---,13,---
83,29,25,23,23,18,15,14,---,---,---
82,28,24,22,---,17,---,---,13,---,---
81,---,---,---,22,---,14,13,---,---,---
80,27,---,21,19,16,---,---,---,---,---
79,26,23,20,---,15,13,---,---,---,12
78,25,22,19,18,14,---,---,---,---,---
77,24,21,18,---,---,---,---,---,12,---
76,23,19,17,---,13,---,---,---,---,---
75,22,---,---,17,---,---,---,---,---,---
74,21,18,16,16,---,---,12,12,---,---
73,---,---,---,15,---,12,---,---,---,---
72,20,17,15,14,12,---,---,---,---,---
71,19,16,---,---,---,---,---,---,---,---
70,18,15,14,13,---,---,---,---,---,---
69,17,14,---,---,---,---,---,---,---,11
68,16,13,13,---,---,---,---,---,---,---
67,---,---,---,---,11,11,11,11,11,---
66,15,---,---,12,---,---,---,---,---,---
65,14,12,12,---,---,---,---,---,---,---
64,13,---,---,11,---,---,---,---,---,---
63,---,---,11,---,---,---,---,---,---,---
62,12,11,---,---,---,---,---,---,---,---
61,11,---,---,---,---,---,---,---,---,---
60,10,10,10,10,10,10,10,10,10,10
50,9,9,9,9,9,9,9,9,9,9
40,8,8,8,8,8,8,8,8,8,8
30,7,7,7,7,7,7,7,7,7,7
20,6,6,6,6,6,6,6,6,6,6
10,5,5,5,5,5,5,5,5,5,5
0,4,4,4,4,4,4,4,4,4,4
