Points,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
100,57,61,62,60,59,56,55,51,46,43
99,56,60,59,59,57,55,53,48,43,41
98,54,57,56,56,54,53,50,45,40,39
97,53,54,55,54,53,50,47,43,38,37
96,51,53,53,53,51,48,44,40,37,35
95,50,52,52,52,48,46,42,38,35,34
94,49,50,51,50,46,44,41,35,34,33
93,48,49,49,48,45,43,39,34,33,31
92,47,48,48,47,44,42,38,33,31,30
91,46,47,47,45,43,41,36,32,30,29
90,45,46,46,44,42,38,34,31,29,26
89,44,45,45,43,41,37,33,30,26,24
88,43,44,44,42,39,36,---,28,25,---
87,42,43,43,41,38,34,32,27,24,23
86,41,42,42,40,37,33,31,26,23,---
85,---,41,41,39,34,32,30,25,---,22
84,40,40,40,38,33,---,29,24,22,21
83,39,38,38,36,32,31,28,23,21,20
82,38,37,37,34,---,30,27,---,20,19
81,---,---,36,33,31,29,25,22,19,18
80,37,35,35,---,30,28,23,21,18,17
79,36,34,34,32,29,27,22,20,---,16
78,35,33,33,---,28,26,---,19,17,---
77,34,32,32,31,27,25,21,18,---,15
76,33,31,---,30,26,23,---,17,16,14
75,32,---,31,29,25,22,20,---,15,---
74,---,---,30,28,24,21,19,16,---,13
73,31,30,29,26,23,20,18,---,14,---
72,30,27,27,24,22,---,17,15,---,---
71,29,26,26,23,21,19,16,14,13,12
70,28,25,23,22,20,18,15,---,---,---
69,27,22,21,21,19,17,14,13,---,---
68,25,21,---,20,17,16,13,---,12,11
67,24,---,---,19,16,15,---,12,---,---
66,23,20,20,17,15,14,12,---,---,---
65,22,17,18,16,14,13,---,---,11,---
64,20,16,16,14,13,12,---,11,---,---
63,17,14,14,13,12,---,11,---,---,---
62,16,13,12,12,---,11,---,---,---,---
61,13,12,11,11,11,---,---,---,---,---
60,10,10,10,10,10,10,10,10,10,10
50,9,9,9,9,9,9,9,9,9,9
40,8,8,8,8,8,8,8,8,8,8
30,7,7,7,7,7,7,7,7,7,7
20,6,6,6,6,6,6,6,6,6,6
10,5,5,5,5,5,5,5,5,5,5
0,4,4,4,4,4,4,4,4,4,4
