Points,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
100,220,215,210,205,200,200,200,200,200,200
99,217,212,207,202,197,197,197,197,197,197
98,214,209,204,199,194,194,194,194,194,194
97,210,205,200,195,190,190,190,190,190,190
96,207,202,197,192,187,187,187,187,187,187
95,204,199,194,189,184,184,184,184,184,184
94,201,196,191,186,181,181,181,181,181,181
93,197,192,187,182,177,177,177,177,177,177
92,194,189,184,179,174,174,174,174,174,174
91,191,186,181,176,171,171,171,171,171,171
90,188,183,178,173,167,167,167,167,167,167
89,184,179,174,169,164,164,164,164,164,164
88,181,176,171,166,161,161,161,161,161,161
87,178,173,168,163,158,158,158,158,158,158
86,175,170,165,160,155,155,155,155,155,155
85,171,166,161,156,151,151,151,151,151,151
84,168,163,158,153,148,148,148,148,148,148
83,165,160,155,150,145,145,145,145,145,145
82,161,157,151,147,142,142,142,142,142,142
81,158,153,148,143,138,138,138,138,138,138
80,155,150,145,140,135,135,135,135,135,135
79,152,147,142,137,132,132,132,132,132,132
78,149,143,138,133,128,128,128,128,128,128
77,145,140,135,130,125,125,125,125,125,125
76,142,137,132,127,122,122,122,122,122,122
75,139,134,129,124,119,119,119,119,119,119
74,135,130,126,120,116,116,116,116,116,116
73,132,127,122,117,112,112,112,112,112,112
72,129,124,119,114,109,109,109,109,109,109
71,126,121,116,111,106,106,106,106,106,106
70,122,118,112,107,102,102,102,102,102,102
69,119,114,109,104,99,99,99,99,99,99
68,116,111,106,101,96,96,96,96,96,96
67,113,108,103,98,93,93,93,93,93,93
66,109,105,99,95,90,90,90,90,90,90
65,106,101,96,91,86,86,86,86,86,86
64,103,98,93,88,83,83,83,83,83,83
63,100,95,90,85,80,80,80,80,80,80
62,97,92,86,82,76,76,76,76,76,76
61,93,88,83,78,73,73,73,73,73,73
60,90,85,80,75,70,70,70,70,70,70
59,---,---,---,---,---,---,---,---,---,---
58,89,84,79,74,69,69,69,69,69,69
57,---,---,---,---,---,---,---,---,---,---
56,88,83,78,73,68,68,68,68,68,68
55,---,---,---,---,---,---,---,---,---,---
54,87,82,77,72,67,67,67,67,67,67
53,---,---,---,---,---,---,---,---,---,---
52,86,81,76,71,66,66,66,66,66,66
51,---,---,---,---,---,---,---,---,---,---
50,85,80,75,70,65,65,65,65,65,65
49,---,---,---,---,---,---,---,---,---,---
48,84,79,74,69,64,64,64,64,64,64
47,---,---,---,---,---,---,---,---,---,---
46,83,78,73,68,63,63,63,63,63,63
45,---,---,---,---,---,---,---,---,---,---
44,82,77,72,67,62,62,62,62,62,62
43,---,---,---,---,---,---,---,---,---,---
42,81,76,71,66,61,61,61,61,61,61
41,---,---,---,---,---,---,---,---,---,---
40,80,75,70,65,60,60,60,60,60,60
39,---,---,---,---,---,---,---,---,---,---
38,79,74,69,64,59,59,59,59,59,59
37,---,---,---,---,---,---,---,---,---,---
36,78,73,68,63,58,58,58,58,58,58
35,---,---,---,---,---,---,---,---,---,---
34,77,72,67,62,57,57,57,57,57,57
33,---,---,---,---,---,---,---,---,---,---
32,76,71,66,61,56,56,56,56,56,56
31,---,---,---,---,---,---,---,---,---,---
30,75,70,65,60,55,55,55,55,55,55
29,---,---,---,---,---,---,---,---,---,---
28,74,69,64,59,54,54,54,54,54,54
27,---,---,---,---,---,---,---,---,---,---
26,73,68,63,58,53,53,53,53,53,53
25,---,---,---,---,---,---,---,---,---,---
24,72,67,62,57,52,52,52,52,52,52
23,---,---,---,---,---,---,---,---,---,---
22,71,66,61,56,51,51,51,51,51,51
21,---,---,---,---,---,---,---,---,---,---
20,70,65,60,55,50,50,50,50,50,50
19,---,---,---,---,---,---,---,---,---,---
18,69,64,59,54,49,49,49,49,49,49
17,---,---,---,---,---,---,---,---,---,---
16,68,63,58,53,48,48,48,48,48,48
15,---,---,---,---,---,---,---,---,---,---
14,67,62,57,52,47,47,47,47,47,47
13,---,---,---,---,---,---,---,---,---,---
12,66,61,56,51,46,46,46,46,46,46
11,---,---,---,---,---,---,---,---,---,---
10,65,60,55,50,45,45,45,45,45,45
9,---,---,---,---,---,---,---,---,---,---
8,64,59,54,49,44,44,44,44,44,44
7,---,---,---,---,---,---,---,---,---,---
6,63,58,53,48,43,43,43,43,43,43
5,---,---,---,---,---,---,---,---,---,---
4,62,57,52,47,42,42,42,42,42,42
3,---,---,---,---,---,---,---,---,---,---
2,61,56,51,46,41,41,41,41,41,41
1,---,---,---,---,---,---,---,---,---,---
0,60,55,50,45,40,40,40,40,40,40
