Points,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
100,89,90,90,93,96,100,105,112,118,129
99,91,92,91,94,97,102,106,115,122,132
98,94,93,94,97,100,104,110,117,123,---
97,95,94,95,98,102,106,112,120,126,133
96,96,96,97,100,103,108,114,121,128,---
95,97,97,98,101,105,109,115,123,129,134
94,99,99,100,103,107,111,117,125,131,135
93,100,100,101,104,108,112,119,126,133,136
92,101,101,102,105,109,113,120,127,135,---
91,102,102,103,106,110,114,121,129,136,---
90,103,103,105,108,112,116,122,130,137,---
89,104,104,106,109,113,117,123,131,139,137
88,105,105,107,110,114,118,125,133,140,138
87,106,106,108,111,115,119,126,134,141,139
86,107,107,109,112,116,120,127,135,142,140
85,108,108,110,113,117,121,128,136,143,141
84,109,109,111,114,118,122,129,137,144,142
83,110,110,112,115,119,124,130,139,146,143
82,111,111,113,116,120,125,132,140,147,144
81,112,112,114,117,121,126,133,141,148,147
80,113,113,115,118,122,127,134,143,149,152
79,114,114,116,119,123,128,135,143,150,153
78,115,115,117,120,124,129,136,145,151,155
77,116,116,118,121,125,130,137,146,153,156
76,117,118,119,122,127,132,139,148,155,158
75,118,119,120,123,128,133,140,149,156,161
74,119,120,121,124,129,134,141,150,157,163
73,120,121,122,125,130,135,143,151,158,164
72,121,122,124,127,132,137,145,152,160,166
71,122,123,125,128,133,138,146,154,162,167
70,123,125,126,130,134,140,147,155,163,169
69,124,127,128,131,136,142,149,157,165,172
68,126,128,130,133,138,143,150,158,167,176
67,127,130,131,135,140,145,152,160,168,177
66,128,131,133,136,141,146,154,161,170,180
65,131,134,135,139,144,149,157,164,173,183
64,133,136,137,141,146,151,159,166,175,189
63,135,138,140,144,148,153,161,168,177,191
62,137,141,142,146,151,156,164,170,179,192
61,142,146,148,151,156,161,168,177,184,194
60,148,151,152,156,161,165,173,180,192,196
59,149,152,153,157,162,166,174,181,193,197
58,150,153,154,158,163,167,175,182,194,198
57,151,154,155,159,164,168,176,183,195,199
56,152,155,156,160,165,169,177,184,196,200
55,153,156,157,161,166,170,178,185,197,201
54,154,157,158,162,167,171,179,186,198,202
53,155,158,159,163,168,172,180,187,199,203
52,156,159,160,164,169,173,181,188,200,204
51,157,160,161,165,170,174,182,189,201,205
50,158,161,162,166,171,175,183,190,202,206
49,159,162,163,167,172,176,184,191,203,207
48,160,163,164,168,173,177,185,192,204,208
47,161,164,165,169,174,178,186,193,205,209
46,162,165,166,170,175,179,187,194,206,210
45,163,166,167,171,176,180,188,195,207,211
44,164,167,168,172,177,181,189,196,208,212
43,165,168,169,173,178,182,190,197,209,213
42,166,169,170,174,179,183,191,198,210,214
41,167,170,171,175,180,184,192,199,211,215
40,168,171,172,176,181,185,193,200,212,216
39,169,172,173,177,182,186,194,201,213,217
38,170,173,174,178,183,187,195,202,214,218
37,171,174,175,179,184,188,196,203,215,219
36,172,175,176,180,185,189,197,204,216,220
35,173,176,177,181,186,190,198,205,217,221
34,174,177,178,182,187,191,199,206,218,222
33,175,178,179,183,188,192,200,207,219,223
32,176,179,180,184,189,193,201,208,220,224
31,177,180,181,185,190,194,202,209,221,225
30,178,181,182,186,191,195,203,210,222,226
29,179,182,183,187,192,196,204,211,223,227
28,180,183,184,188,193,197,205,212,224,228
27,181,184,185,189,194,198,206,213,225,229
26,182,185,186,190,195,199,207,214,226,230
25,183,186,187,191,196,200,208,215,227,231
24,184,187,188,192,197,201,209,216,228,232
23,185,188,189,193,198,202,210,217,229,233
22,186,189,190,194,199,203,211,218,230,234
21,187,190,191,195,200,204,212,219,231,235
20,188,191,192,196,201,205,213,220,232,236
19,189,192,193,197,202,206,214,221,233,237
18,190,193,194,198,203,207,215,222,234,238
17,191,194,195,199,204,208,216,223,235,239
16,192,195,196,200,205,209,217,224,236,240
15,193,196,197,201,206,210,218,225,237,241
14,194,197,198,202,207,211,219,226,238,242
13,195,198,199,203,208,212,220,227,239,243
12,196,199,200,204,209,213,221,228,240,244
11,197,200,201,205,210,214,222,229,241,245
10,198,201,202,206,211,215,223,230,242,246
9,199,202,203,207,212,216,224,231,243,247
8,200,203,204,208,213,217,225,232,244,248
7,201,204,205,209,214,218,226,233,245,249
6,202,205,206,210,215,219,227,234,246,250
5,203,206,207,211,216,220,228,235,247,251
4,204,207,208,212,217,221,229,236,248,252
3,205,208,209,213,218,222,230,237,249,253
2,206,209,210,214,219,223,231,238,250,254
1,207,210,211,215,220,224,232,239,251,255
0,208,211,212,216,221,225,233,240,252,256
