Points,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
100,8.4,8.5,8.7,8.6,8.2,8.1,7.8,7.4,6.6,6.6
99,8.2,8.4,8.5,8.4,8.0,7.9,7.6,7.1,6.4,6.4
98,7.7,7.9,8.2,8.0,7.5,7.4,7.1,6.6,6.3,6.3
97,7.5,7.7,8.0,7.8,7.3,7.2,6.8,6.5,6.2,6.2
96,7.3,7.5,7.7,7.6,7.2,7.1,6.5,6.3,6.1,6.1
95,7.2,7.4,7.5,7.4,7.0,6.9,6.4,6.2,6.0,6.0
94,7.0,7.2,7.3,7.3,6.8,6.8,6.2,6.1,5.9,5.9
93,6.9,7.1,7.2,7.1,6.7,6.7,---,6.0,5.8,5.8
92,6.8,7.0,7.1,7.0,---,6.6,---,5.9,5.7,5.7
91,6.6,6.9,7.0,6.9,6.6,6.5,6.1,5.8,5.6,5.6
90,6.5,6.8,6.9,6.8,6.4,6.4,6.0,5.7,5.5,5.5
89,---,6.7,6.8,6.7,---,6.3,5.9,5.6,5.4,---
88,6.4,6.6,6.7,6.5,6.3,6.2,---,---,---,5.4
87,6.3,6.5,6.6,6.4,6.2,6.1,5.8,5.5,5.3,---
86,6.2,6.4,6.5,---,6.1,6.0,5.7,---,---,5.3
85,6.1,6.3,---,6.3,---,---,5.6,5.4,---,---
84,---,6.2,6.4,---,6.0,5.9,---,---,5.2,---
83,6.0,6.1,6.3,6.2,5.9,5.8,5.5,5.3,---,5.2
82,---,---,---,6.1,5.8,---,---,5.2,---,---
81,5.9,6.0,6.2,6.0,---,---,5.4,---,---,---
80,5.8,5.9,6.1,5.9,5.7,5.7,5.3,---,5.1,5.1
79,---,5.8,5.9,---,---,5.6,---,5.1,---,---
78,5.7,---,---,5.8,5.6,---,5.2,---,---,---
77,---,---,5.8,---,---,5.5,---,5.0,5.0,5.0
76,5.6,5.7,5.7,5.7,5.5,5.4,---,---,---,---
75,5.5,5.6,---,---,5.4,---,5.1,4.9,4.9,4.9
74,5.4,5.5,5.6,5.6,---,5.3,---,---,---,---
73,---,---,---,5.5,5.3,---,5.0,4.8,---,4.8
72,5.3,5.4,5.5,---,5.2,5.2,---,4.7,4.8,4.7
71,5.2,5.3,5.4,5.4,---,---,4.9,---,4.6,4.6
70,---,---,5.3,5.3,---,5.1,---,4.6,---,---
69,5.1,5.2,---,---,5.1,5.1,4.8,---,4.5,4.5
68,5.0,---,5.2,5.2,5.0,5.0,4.7,4.5,4.4,4.4
67,---,5.1,---,---,4.9,4.9,4.6,4.4,4.3,4.3
66,4.9,5.0,5.1,5.1,---,4.8,---,---,4.2,4.2
65,4.8,4.9,5.0,5.0,4.8,4.7,---,4.3,4.1,4.1
64,---,4.8,4.9,4.9,4.7,---,4.5,4.2,4.0,---
63,4.7,4.7,4.8,4.8,4.6,4.6,4.4,---,3.9,4.0
62,4.6,4.6,4.7,4.7,4.5,4.5,4.2,4.1,3.8,3.9
61,4.4,4.4,4.6,4.5,4.4,4.2,4.1,3.9,3.6,3.6
60,3.9,4.0,4.2,4.1,4.1,3.9,3.7,3.5,3.4,3.4
59,---,---,---,---,---,---,---,---,---,---
58,---,---,---,---,---,---,---,---,---,---
57,---,---,4.1,---,---,---,---,---,---,---
56,---,---,---,---,---,---,---,---,---,---
55,---,---,---,---,---,---,---,---,---,---
54,3.8,3.9,---,4.0,4.0,3.8,3.6,3.4,---,---
53,---,---,---,---,---,---,---,---,---,---
52,---,---,4.0,---,---,---,---,---,---,---
51,---,---,---,---,---,---,---,---,---,---
50,---,---,---,---,---,---,---,---,---,---
49,---,---,---,---,---,---,---,---,---,---
48,---,---,---,---,---,---,---,---,---,---
47,---,---,---,---,---,3.7,---,---,---,---
46,---,---,---,---,---,---,---,---,---,---
45,---,---,---,---,---,---,---,---,---,---
44,3.7,3.8,3.9,3.9,3.9,---,3.5,3.3,3.3,3.3
43,---,---,---,---,---,---,---,---,---,---
42,---,---,---,---,---,3.6,---,---,---,---
41,---,---,---,---,---,---,---,---,---,---
40,---,---,---,---,---,---,---,---,---,---
39,---,---,---,---,---,---,---,---,---,---
38,---,---,---,---,---,---,---,---,---,---
37,3.6,---,---,---,3.8,---,---,3.2,---,---
36,---,---,---,---,---,---,---,---,---,---
35,---,3.8,---,---,---,---,---,---,---,---
34,---,---,3.8,3.8,---,3.5,3.4,---,3.2,3.2
33,---,---,---,---,---,---,---,---,---,---
32,3.5,---,---,---,3.7,---,---,3.1,---,---
31,---,---,---,---,---,---,---,---,---,---
30,---,---,---,---,---,---,---,---,---,---
29,---,---,---,---,---,---,---,---,---,---
28,---,---,---,---,---,---,3.3,---,---,---
27,---,3.6,3.7,3.7,---,3.4,---,---,---,---
26,---,---,---,---,---,---,---,---,---,---
25,---,---,---,---,---,---,---,---,---,---
24,3.4,---,---,---,3.6,---,3.2,3.0,3.1,3.1
23,---,---,---,---,---,---,---,---,---,---
22,---,3.5,3.6,3.6,---,3.3,---,---,---,---
21,---,---,---,---,---,---,3.1,---,---,---
20,---,---,---,---,---,---,---,---,---,---
19,---,---,---,---,---,---,---,---,---,---
18,3.3,3.4,3.5,3.5,3.5,3.2,3.0,---,3.0,3.0
17,---,---,---,---,---,---,---,2.9,---,---
16,---,---,---,---,---,---,---,---,---,---
15,---,---,---,---,---,---,---,---,---,---
14,3.2,3.3,3.4,3.4,3.4,3.1,2.9,---,2.9,2.9
13,---,---,---,---,---,---,---,---,---,---
12,---,---,---,---,---,---,---,2.8,---,---
11,3.1,3.2,3.3,3.3,3.3,3.0,2.8,---,2.8,2.8
10,---,---,---,---,---,---,---,---,---,---
9,---,---,---,---,---,---,---,---,---,---
8,3.0,3.1,3.2,3.2,3.2,2.9,2.7,2.7,2.7,2.7
7,---,---,---,---,---,---,---,---,---,---
6,2.9,3.0,3.1,3.1,3.1,2.8,2.6,2.6,2.6,2.6
5,---,---,---,---,---,---,---,---,---,---
4,2.8,2.9,3.0,3.0,3.0,2.7,2.5,2.5,2.5,2.5
3,---,---,---,---,---,---,---,---,---,---
2,2.7,2.8,2.9,2.9,2.9,2.6,2.4,2.4,2.4,2.4
1,---,---,---,---,---,---,---,---,---,---
0,2.6,2.7,2.8,2.8,2.8,2.5,2.3,2.3,2.3,2.3
