Points,17-21,22-26,27-31,32-36,37-41,42-46,47-51,52-56,57-61,62+
100,12.6,13.0,13.1,12.9,12.8,12.3,11.6,10.6,9.9,9.0
99,12.4,12.9,12.9,12.6,12.6,12.1,11.4,10.4,9.7,8.8
98,12.0,12.5,12.6,12.4,12.2,11.7,11.0,10.2,9.5,---
97,11.7,12.2,12.4,12.2,12.0,11.4,10.7,10.0,9.4,8.7
96,11.5,12.0,12.2,12.0,11.8,11.3,10.6,9.8,9.3,---
95,11.3,11.8,12.0,11.8,11.6,11.1,10.4,9.6,9.1,8.6
94,11.0,11.5,11.7,11.6,11.4,10.8,10.2,9.5,9.0,8.5
93,10.9,11.4,11.6,11.4,11.2,10.7,10.1,9.3,8.9,8.3
92,10.7,11.3,11.4,11.3,11.1,10.6,10.0,9.2,8.8,8.2
91,10.6,11.1,11.3,11.2,10.9,10.5,9.9,9.1,8.7,8.1
90,10.5,11.0,11.1,11.0,10.7,10.4,9.7,9.0,8.5,8.0
89,10.4,10.7,11.0,10.8,10.6,10.3,9.6,8.9,---,---
88,10.3,10.6,10.9,10.7,10.5,10.1,9.5,8.8,8.4,7.9
87,10.0,10.4,10.7,10.5,10.4,9.9,9.4,8.7,8.3,---
86,9.9,10.3,10.6,10.4,10.3,9.8,9.3,8.6,8.2,7.8
85,9.8,10.2,10.5,10.3,10.2,9.7,9.2,---,8.1,---
84,9.7,10.1,10.4,10.2,10.1,9.6,9.1,8.5,---,7.7
83,9.6,10.0,10.2,10.1,9.9,9.5,9.0,8.4,8.0,7.6
82,9.5,9.9,10.1,10.0,9.8,9.4,8.9,8.3,7.9,---
81,9.4,9.8,10.0,9.9,9.7,9.3,8.8,8.2,7.8,7.5
80,9.3,9.7,9.8,9.8,9.6,9.2,8.7,8.1,7.7,---
79,9.2,9.6,---,9.7,9.5,9.1,---,---,7.6,7.4
78,9.1,9.5,9.7,9.6,9.4,9.0,8.6,8.0,7.5,---
77,9.0,9.4,9.6,9.5,9.3,8.9,8.5,7.9,---,7.3
76,8.9,9.3,9.4,9.4,9.2,8.8,8.4,7.8,7.4,7.2
75,8.8,9.2,9.3,9.3,9.1,8.7,8.3,---,7.3,---
74,8.6,9.1,---,9.2,9.0,---,8.2,7.7,7.2,7.1
73,8.5,9.0,9.2,9.1,8.9,8.6,---,7.6,7.1,7.0
72,8.4,8.9,9.0,8.9,8.8,8.4,8.1,7.5,7.0,6.8
71,8.3,8.8,8.9,8.8,8.7,8.3,8.0,7.4,---,6.7
70,8.2,8.6,8.8,8.7,8.6,8.2,7.9,7.3,6.9,6.6
69,8.1,8.5,8.6,8.6,8.5,8.1,7.7,7.1,6.8,6.4
68,8.0,8.3,8.5,8.5,8.3,8.0,7.6,7.0,6.7,6.2
67,7.9,8.2,8.4,8.3,8.2,7.9,7.5,---,6.6,---
66,7.7,8.1,8.3,8.2,8.1,7.8,7.4,6.9,6.5,6.1
65,7.5,7.8,8.1,8.1,7.8,7.6,7.2,6.7,6.3,---
64,7.4,7.7,7.9,7.9,7.7,7.4,7.1,6.6,6.2,5.9
63,7.2,7.5,7.7,7.6,7.5,7.3,6.9,6.4,6.1,5.7
62,6.9,7.3,7.5,7.4,7.3,7.1,6.7,6.2,6.0,5.4
61,6.6,6.9,7.1,7.1,7.0,6.7,6.4,6.0,5.7,5.1
60,6.0,6.3,6.5,6.5,6.4,6.2,6.0,5.7,5.3,4.9
59,---,---,---,---,---,---,---,---,---,---
58,---,---,---,---,---,---,---,---,---,---
57,5.9,6.2,6.4,6.4,6.3,6.1,5.9,5.6,---,---
56,---,---,---,---,---,---,---,---,---,---
55,---,---,---,---,---,---,---,---,---,---
54,---,---,---,---,---,---,---,---,5.2,4.8
53,---,---,---,---,---,---,---,---,---,---
52,5.8,6.1,6.3,6.3,6.2,6.0,5.8,5.5,---,---
51,---,---,---,---,---,---,---,---,---,---
50,---,---,---,---,---,---,---,---,---,---
49,---,---,---,---,---,---,---,---,---,---
48,---,---,6.2,---,---,---,---,---,---,---
47,5.7,---,---,6.2,6.1,---,5.7,5.4,5.1,---
46,---,---,---,---,---,---,---,---,---,---
45,---,---,---,---,---,---,---,---,---,---
44,---,6.0,6.1,---,---,5.9,---,---,---,4.7
43,---,---,---,---,---,---,---,---,---,---
42,5.6,---,---,6.1,6.0,---,5.6,5.3,5.0,---
41,---,---,6.0,---,---,---,---,---,---,---
40,---,---,---,---,---,---,---,---,---,---
39,---,---,---,---,---,---,---,---,---,---
38,5.5,5.9,---,---,---,5.8,---,5.2,---,---
37,---,---,5.9,6.0,5.9,---,5.5,---,---,4.6
36,---,5.8,---,---,---,5.7,---,---,---,---
35,---,---,---,---,---,---,---,---,---,---
34,5.4,---,---,---,---,---,---,5.1,---,---
33,---,5.7,---,---,---,5.6,---,---,---,---
32,---,---,5.8,5.9,5.8,---,5.4,---,---,4.5
31,5.3,5.6,---,---,---,5.5,---,5.0,---,---
30,---,---,---,---,---,---,---,---,---,---
29,---,---,---,---,---,---,---,---,---,---
28,5.2,5.5,5.7,5.8,5.7,5.4,5.3,---,---,---
27,---,---,---,---,---,---,---,---,---,---
26,---,5.4,5.6,5.7,5.6,5.3,5.2,---,---,---
25,---,---,---,---,---,---,---,---,---,---
24,5.1,---,---,5.6,---,---,---,4.9,4.9,4.4
23,---,5.3,5.5,---,5.5,5.2,5.1,---,---,---
22,---,---,---,5.5,---,---,---,---,---,---
21,5.0,5.2,5.4,---,5.4,5.1,5.0,---,---,---
20,---,---,---,5.4,---,---,---,---,---,---
19,---,---,5.3,---,---,---,---,---,---,---
18,4.9,5.1,---,5.3,5.3,5.0,4.9,4.8,4.8,---
17,---,---,5.2,---,---,---,---,---,---,4.3
16,4.8,5.0,---,5.2,5.2,---,4.8,4.7,4.7,---
15,---,---,5.1,---,---,---,---,---,---,---
14,4.7,4.9,5.0,5.1,5.1,4.9,---,---,---,---
13,---,---,---,---,---,---,4.7,4.6,4.6,---
12,4.6,4.8,4.9,5.0,5.0,---,---,---,---,4.2
11,---,---,---,---,---,4.8,4.6,4.5,4.5,---
10,4.5,4.7,4.8,4.9,4.9,---,---,---,---,---
9,---,---,---,---,---,---,---,---,---,---
8,4.4,4.6,4.7,4.8,4.8,4.7,4.5,4.4,4.4,4.1
7,---,---,---,---,---,---,---,---,---,---
6,4.3,4.5,4.6,4.7,4.7,4.6,4.4,4.3,4.3,4.0
5,---,---,---,---,---,---,---,---,---,---
4,4.2,4.4,4.5,4.6,4.6,4.5,4.3,4.2,4.2,3.9
3,---,---,---,---,---,---,---,---,---,---
2,4.1,4.3,4.4,4.5,4.5,4.4,4.2,4.1,4.1,3.8
1,---,---,---,---,---,---,---,---,---,---
0,4.0,4.2,4.3,4.4,4.4,4.3,4.1,4.0,4.0,3.7
